               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10262,             0.20558,                   0,             0.39188,             0.69799,             0.47088,             0.17184,            0.074424,             0.24402,                   0,            0.070476,           0.0032804,           0.0032804
                   1,            0.072492,             0.20169,                   0,             0.41614,             0.62719,             0.55901,             0.22659,            0.068545,             0.23428,                   0,            0.040345,           0.0064828,           0.0064828
                   2,            0.072214,             0.19702,                   0,             0.51718,             0.82359,             0.56414,             0.21951,            0.062049,              0.2078,                   0,            0.010082,           0.0095532,           0.0095532
                   3,            0.062548,             0.19543,                   0,             0.80442,             0.93641,             0.88662,             0.46505,            0.051439,             0.22198,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.054136,             0.18285,                   0,             0.61394,             0.84543,              0.8392,             0.53384,            0.049807,             0.21414,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.048622,             0.17146,                   0,             0.89045,             0.91888,             0.95353,             0.53874,            0.041942,             0.17931,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.044537,             0.16002,                   0,             0.81961,             0.90751,             0.94829,             0.55513,            0.041824,             0.17919,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.043307,             0.15865,                   0,             0.99139,             0.96145,             0.98872,             0.64787,            0.040182,             0.16033,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.040206,             0.15471,                   0,             0.98683,             0.96205,             0.98979,             0.66769,            0.034697,             0.14903,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.040482,             0.15027,                   0,              0.9921,             0.96612,             0.99049,               0.695,            0.035421,             0.15546,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.036825,              0.1435,                   0,             0.99199,             0.96672,             0.99168,             0.79798,            0.031257,             0.13766,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.037039,             0.13875,                   0,             0.99255,             0.96968,             0.99227,             0.79206,            0.033916,             0.14189,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.035044,              0.1417,                   0,             0.97515,             0.97064,             0.99111,              0.8146,              0.0339,             0.13806,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.034437,             0.13607,                   0,             0.99235,             0.97096,             0.99276,             0.81678,            0.031373,             0.13599,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.034139,              0.1336,                   0,             0.99367,             0.97322,             0.99296,             0.82066,            0.027681,             0.12793,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.033041,             0.12748,                   0,             0.99315,             0.96918,             0.99257,             0.81375,            0.027385,             0.12444,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.033537,             0.12872,                   0,             0.99319,             0.97279,             0.99323,             0.80032,            0.031483,             0.13268,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.033043,             0.12653,                   0,             0.99312,             0.97331,              0.9932,             0.85844,            0.025268,             0.12021,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.032504,             0.12666,                   0,             0.99452,             0.97153,             0.99309,             0.85338,            0.025947,             0.12162,                   0,            0.006634,            0.006634,            0.006634
                  19,             0.03015,             0.12047,                   0,             0.99254,             0.97124,               0.993,             0.86549,            0.024715,             0.11333,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.029483,             0.11519,                   0,             0.99399,             0.97077,              0.9928,             0.84851,             0.02616,             0.11637,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.031525,             0.12243,                   0,              0.9942,              0.9731,              0.9932,             0.86726,            0.024252,             0.11503,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.028659,             0.11573,                   0,             0.99405,             0.97222,             0.99318,             0.85906,            0.025583,             0.11371,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.028401,             0.11292,                   0,              0.9937,             0.97184,             0.99319,             0.87655,            0.024176,             0.10928,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.029445,             0.11525,                   0,             0.99517,             0.97412,             0.99349,             0.87645,            0.025042,             0.11101,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.029457,             0.11306,                   0,             0.99473,             0.97325,             0.99343,             0.85321,            0.025519,             0.11181,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.027607,             0.11048,                   0,             0.99402,             0.97136,             0.99327,             0.88464,             0.02309,             0.10372,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.027352,             0.10797,                   0,             0.99497,             0.97305,              0.9933,              0.8555,            0.025557,             0.11129,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.027005,             0.10617,                   0,              0.9947,             0.97302,             0.99336,             0.89873,            0.023321,             0.10366,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.026898,             0.10795,                   0,              0.9941,             0.97486,             0.99358,             0.90025,            0.022829,             0.10122,                   0,            0.004456,            0.004456,            0.004456
                  30,             0.02661,             0.10585,                   0,             0.99452,             0.97402,             0.99354,             0.89754,            0.022488,             0.10014,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.025902,             0.10383,                   0,             0.99537,             0.97531,             0.99365,             0.89299,             0.02192,            0.099206,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.025555,             0.10175,                   0,             0.99567,             0.97401,             0.99347,             0.88611,            0.022761,             0.10069,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.025903,              0.1032,                   0,              0.9953,             0.97439,             0.99353,             0.89763,            0.021692,            0.096892,                   0,            0.003664,            0.003664,            0.003664
                  34,             0.02466,             0.09839,                   0,             0.99543,             0.97457,             0.99354,             0.89793,            0.021814,            0.097205,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.024721,            0.099429,                   0,             0.99558,              0.9758,             0.99367,             0.89919,            0.021972,            0.096447,                   0,            0.003268,            0.003268,            0.003268
                  36,            0.024408,            0.097389,                   0,             0.99605,             0.97469,             0.99355,             0.91445,             0.02056,            0.091075,                   0,             0.00307,             0.00307,             0.00307
                  37,            0.023708,            0.093936,                   0,             0.99553,             0.97508,             0.99365,             0.91145,            0.020927,            0.093106,                   0,            0.002872,            0.002872,            0.002872
                  38,            0.024029,            0.095334,                   0,             0.99602,             0.97497,              0.9937,             0.90526,             0.02106,            0.093532,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.023433,            0.093786,                   0,             0.99556,             0.97345,             0.99344,             0.92254,            0.020097,            0.087972,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.022806,            0.092142,                   0,             0.99616,             0.97482,             0.99367,             0.91773,            0.020384,            0.089729,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.022797,            0.091467,                   0,             0.99623,             0.97597,             0.99377,              0.9228,            0.020183,            0.088397,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.022803,            0.090214,                   0,             0.99547,               0.976,             0.99373,             0.92604,            0.019879,             0.08697,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.022511,            0.089897,                   0,             0.99579,             0.97585,             0.99378,             0.92401,             0.01985,            0.086668,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.022075,            0.087404,                   0,             0.99598,             0.97654,              0.9939,             0.92646,            0.019607,            0.085165,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.021671,            0.085648,                   0,             0.99567,             0.97576,             0.99378,             0.92953,             0.01953,            0.084666,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.021392,            0.084953,                   0,             0.99573,              0.9758,             0.99381,              0.9305,            0.019488,            0.084369,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.021565,            0.087066,                   0,             0.99575,             0.97557,             0.99384,             0.92964,            0.019457,            0.084186,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.021209,            0.084844,                   0,             0.99573,             0.97526,             0.99381,             0.93205,             0.01938,            0.084123,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.021149,            0.084431,                   0,             0.99573,             0.97531,             0.99379,             0.93128,            0.019483,             0.08396,                   0,            0.000496,            0.000496,            0.000496
